word,n
illinois,105
jan,105
jazz,105
plate,105
region,105
remove,105
sexy,105
slowly,105
unique,105
vice,105
acting,104
approved,104
army,104
birds,104
breaking,104
bringing,104
buildings,104
chair,104
championship,104
customer,104
decades,104
detroit,104
fix,104
funds,104
gotten,104
hop,104
hundreds,104
inspiration,104
santa,104
sen,104
tony,104
violence,104
youth,104
agent,103
bored,103
candidates,103
capital,103
cutting,103
housing,103
incredible,103
limit,103
magazine,103
mentioned,103
tears,103
theme,103
van,103
yellow,103
aware,102
basically,102
bills,102
chose,102
crisis,102
directly,102
drinks,102
ensure,102
fake,102
jr,102
millions,102
ms,102
ordered,102
scale,102
suck,102
surgery,102
tech,102
tend,102
tweeting,102
browns,101
craft,101
develop,101
edge,101
environment,101
larger,101
lee,101
offensive,101
pants,101
religious,101
smell,101
suit,101
therefore,101
theyll,101
wit,101
believed,100
button,100
decade,100
democratic,100
estate,100
heads,100
musical,100
obvious,100
officially,100
opportunities,100
profit,100
require,100
revenue,100
ring,100
separate,100
strange,100
systems,100
visitors,100
ad,99
christie,99
completed,99
degrees,99
everywhere,99
familiar,99
feelings,99
focused,99
hadnt,99
hills,99
increased,99
mall,99
noted,99
salad,99
singing,99
solid,99
ugly,99
vacation,99
animals,98
bear,98
clients,98
core,98
fabulous,98
fifth,98
gov,98
guilty,98
medium,98
memories,98
partner,98
seeking,98
sky,98
upset,98
users,98
visiting,98
y,98
african,97
angry,97
blame,97
campus,97
corporate,97
dancing,97
diet,97
fuel,97
grown,97
independent,97
lakers,97
mexico,97
offering,97
peoples,97
sets,97
sites,97
stone,97
bears,96
bird,96
boyfriend,96
candidate,96
channel,96
concerns,96
contest,96
cuz,96
defensive,96
fox,96
gain,96
hole,96
leadership,96
missouri,96
mixed,96
passing,96
proposal,96
smaller,96
steps,96
stood,96
survey,96
taught,96
tips,96
truck,96
walls,96
workout,96
accept,95
allows,95
chat,95
discovered,95
farm,95
hanging,95
hip,95
individuals,95
meanwhile,95
newark,95
ocean,95
parties,95
pattern,95
shape,95
spoke,95
storm,95
threw,95
trend,95
usa,95
cheap,94
cookies,94
dallas,94
dollar,94
driver,94
eggs,94
emotional,94
inc,94
knee,94
playoffs,94
population,94
prove,94
sides,94
studies,94
woods,94
actions,93
baking,93
balls,93
blues,93
breath,93
challenges,93
citizens,93
comedy,93
creation,93
eric,93
jeff,93
lay,93
matters,93
owned,93
panel,93
seek,93
sing,93
sleeping,93
videos,93
attend,92
banks,92
boss,92
choices,92
chosen,92
crew,92
effective,92
experts,92
falling,92
foreign,92
governor,92
lesson,92
net,92
pepper,92
print,92
supporting,92
anthony,91
apartment,91
apply,91
blazers,91
cell,91
consumers,91
drivers,91
fiction,91
guitar,91
houston,91
juice,91
leads,91
mini,91
native,91
nba,91
offense,91
parks,91
pitch,91
planet,91
pleasure,91
provides,91
reader,91
reduce,91
tiny,91
william,91
windows,91
yours,91
connect,90
ex,90
excuse,90
feed,90
ingredients,90
jail,90
midnight,90
perfectly,90
profile,90
taylor,90
womens,90
africa,89
agents,89
atlanta,89
bands,89
chairman,89
crying,89
davis,89
mental,89
plane,89
prize,89
removed,89
seats,89
staying,89
task,89
update,89
uses,89
yep,89
anniversary,88
bars,88
click,88
connection,88
drunk,88
empty,88
entertainment,88
entirely,88
faced,88
flavor,88
giants,88
gop,88
hilarious,88
impossible,88
markets,88
packed,88
pie,88
plot,88
prosecutors,88
queen,88
quote,88
route,88
sept,88
somewhat,88
vision,88
youtube,88
adults,87
annoying,87
arm,87
associated,87
blow,87
border,87
circle,87
coverage,87
disease,87
failure,87
generally,87
highway,87
houses,87
inning,87
laid,87
pace,87
purchased,87
scared,87
sisters,87
stands,87
voted,87
advertising,86
appearance,86
brilliant,86
carolina,86
childrens,86
coaches,86
committed,86
complex,86
drew,86
evil,86
ford,86
hungry,86
incident,86
investment,86
ipad,86
jury,86
letting,86
machine,86
mood,86
nearby,86
nick,86
parent,86
pic,86
playoff,86
proposed,86
protection,86
responsible,86
richard,86
saved,86
status,86
theatre,86
tight,86
treated,86
views,86
alex,85
chef,85
closing,85
colorado,85
crap,85
dish,85
dying,85
fail,85
flow,85
jealous,85
journal,85
leg,85
levels,85
math,85
mixture,85
nose,85
oven,85
recommend,85
relationships,85
remaining,85
riding,85
rooms,85
shower,85
smh,85
smooth,85
solution,85
abuse,84
confidence,84
deserve,84
drawing,84
dumb,84
enforcement,84
forest,84
grace,84
guests,84
mass,84
milwaukee,84
perform,84
presented,84
quarterback,84
regional,84
stayed,84
swear,84
transportation,84
academy,83
bags,83
beef,83
brian,83
congratulations,83
developed,83
dick,83
experiences,83
false,83
giant,83
indian,83
lemon,83
male,83
mess,83
nervous,83
rare,83
shown,83
sons,83
activity,82
blessed,82
bond,82
burn,82
cc,82
checking,82
combined,82
condition,82
consumer,82
critical,82
england,82
entry,82
facing,82
guide,82
heaven,82
holidays,82
introduced,82
item,82
japanese,82
joke,82
master,82
mexican,82
operations,82
performing,82
phoenix,82
plain,82
plastic,82
pot,82
prefer,82
progress,82
spots,82
stress,82
talented,82
testing,82
trail,82
understanding,82
urban,82
actor,81
ages,81
allowing,81
attitude,81
blogs,81
canada,81
ceo,81
conditions,81
desire,81
directed,81
el,81
entered,81
file,81
finds,81
france,81
horrible,81
inch,81
lawyer,81
listed,81
professor,81
receiving,81
rising,81
sexual,81
singer,81
soccer,81
sport,81
topic,81
wanting,81
attended,80
bush,80
catholic,80
display,80
experienced,80
foods,80
forces,80
gifts,80
grant,80
grateful,80
harder,80
maryland,80
pregnant,80
previously,80
pushing,80
tie,80
wisdom,80
adam,79
babies,79
bathroom,79
beers,79
bible,79
conservative,79
cultural,79
dan,79
determined,79
drawn,79
drove,79
falls,79
fired,79
hearts,79
holds,79
howard,79
italian,79
laughing,79
lessons,79
located,79
meetings,79
package,79
presentation,79
sam,79
sees,79
selection,79
spanish,79
upcoming,79
virginia,79
aid,78
allen,78
announcement,78
ap,78
brewers,78
client,78
concept,78
correct,78
dining,78
duty,78
effects,78
employee,78
exact,78
fees,78
follows,78
gym,78
immigration,78
investors,78
license,78
noon,78
northern,78
nuts,78
operating,78
papers,78
rush,78
sending,78
shift,78
stretch,78
tied,78
tracks,78
ultimately,78
unemployment,78
whenever,78
wings,78
worried,78
alright,77
asleep,77
basis,77
communities,77
companys,77
fathers,77
garlic,77
grab,77
hiring,77
legislation,77
lil,77
moon,77
moves,77
mt,77
presence,77
shirts,77
thankful,77
wrap,77
accepted,76
accident,76
afford,76
approval,76
ate,76
brooklyn,76
cardinals,76
combination,76
declined,76
dirty,76
disappointed,76
earn,76
fed,76
fingers,76
girlfriend,76
handed,76
india,76
kelly,76
kinds,76
passes,76
passion,76
patient,76
prior,76
puts,76
reporters,76
reserve,76
retired,76
sir,76
split,76
teeth,76
thin,76
ups,76
accounts,75
advance,75
andrew,75
arrest,75
barely,75
captain,75
delivered,75
distance,75
emergency,75
exist,75
finals,75
flower,75
flying,75
honey,75
innings,75
iron,75
jason,75
joseph,75
manage,75
minor,75
posting,75
pride,75
ray,75
reaction,75
regarding,75
reply,75
responsibility,75
ribbon,75
selected,75
shame,75
spiritual,75
suggest,75
unlike,75
vintage,75
wisconsin,75
ave,74
awkward,74
behavior,74
believes,74
cats,74
concern,74
confirmed,74
def,74
ed,74
fame,74
faster,74
fixed,74
forgotten,74
hat,74
hollywood,74
hunger,74
invited,74
marathon,74
practices,74
prime,74
recipes,74
replace,74
returning,74
rick,74
shed,74
shell,74
ship,74
software,74
strategy,74
types,74
village,74
amazon,73
appeal,73
argument,73
bell,73
bodies,73
chapter,73
crash,73
cups,73
dangerous,73
dj,73
drugs,73
elections,73
featured,73
importance,73
letters,73
links,73
nigga,73
personally,73
pics,73
